player,player_id,team_id,stint,start,end,rp_eligible,round_id,pick_id,transaction_type,n_points,n_games,w_bat,w_sp,w_rp,ppg
Triston Casas,41180,6,0,1,22,FALSE,10,114,Draft,14,10,1,0,0,1.4
Tyler Glasnow,33190,13,0,1,22,FALSE,6,61,Draft,12.5,2,0,1,0,6.25
Tyler Holton,3983833,7,0,1,11,TRUE,23,268,Draft,5,1,0,0,1,5
Tyler O'Neill,34168,2,0,1,22,FALSE,16,190,Draft,31,9,1,0,0,3.4444444444444446
Victor Robles,35042,8,0,1,22,FALSE,24,279,Draft,20,10,1,0,0,2
Vinnie Pasquantino,4109109,13,0,1,22,FALSE,5,60,Draft,25.5,9,1,0,0,2.8333333333333335
Vladimir Guerrero Jr.,35002,4,0,1,22,FALSE,1,11,Draft,23,11,1,0,0,2.090909090909091
Walker Buehler,39251,9,0,1,22,FALSE,22,259,Draft,1.5,1,0,1,0,1.5
Will Smith,38309,2,0,1,22,FALSE,4,46,Draft,34,11,1,0,0,3.090909090909091
Willi Castro,34230,11,0,1,22,FALSE,17,201,Draft,21.5,8,1,0,0,2.6875
William Contreras,39895,6,0,1,22,FALSE,3,31,Draft,10,9,1,0,0,1.1111111111111112
Willson Contreras,32532,4,0,1,22,FALSE,9,107,Draft,3,10,1,0,0,0.3
Willy Adames,33675,9,0,1,22,FALSE,8,91,Draft,18,10,1,0,0,1.8
Wilyer Abreu,4990055,5,0,1,22,FALSE,20,236,Draft,55.5,11,1,0,0,5.045454545454546
Wyatt Langford,4719324,2,0,1,22,FALSE,5,51,Draft,29.5,11,1,0,0,2.6818181818181817
Xander Bogaerts,31606,12,0,1,22,FALSE,13,146,Draft,23.5,11,1,0,0,2.1363636363636362
Xavier Edwards,41326,13,0,1,22,FALSE,17,204,Draft,22,10,1,0,0,2.2
Yainer Diaz,4781491,5,0,1,20,FALSE,10,116,Draft,0.5,7,1,0,0,0.07142857142857142
Yandy Diaz,33481,13,0,1,22,FALSE,8,85,Draft,11,9,1,0,0,1.2222222222222223
Yordan Alvarez,36018,6,0,1,22,FALSE,1,7,Draft,19.5,10,1,0,0,1.95
Yoshinobu Yamamoto,4872587,8,0,1,22,FALSE,4,39,Draft,51.5,3,0,1,0,17.166666666666668
Yu Darvish,32055,8,0,1,22,FALSE,22,255,Draft,0,0,NA,NA,NA,0
Yusei Kikuchi,41415,14,0,1,22,FALSE,10,120,Draft,33.5,2,0,1,0,16.75
Zac Gallen,39910,1,0,1,22,FALSE,7,80,Draft,33.5,3,0,1,0,11.166666666666666
Zach Eflin,32804,14,0,1,22,FALSE,21,241,Draft,51,3,0,1,0,17
Zach Neto,4666100,8,0,1,22,FALSE,19,226,Draft,0,0,NA,NA,NA,0
Zack Wheeler,31267,1,0,1,22,FALSE,2,17,Draft,56.5,2,0,1,0,28.25
Josh Bell,32517,7,0,2,22,FALSE,NA,NA,Free Agent,5,6,1,0,0,0.8333333333333334
Ben Rice,5016968,11,0,3,22,FALSE,NA,NA,Free Agent,32.5,9,1,0,0,3.611111111111111
Jose Soriano,40973,6,0,3,18,FALSE,NA,NA,Free Agent,8.5,1,0,1,0,8.5
Tyler Freeman,40958,4,0,5,10,FALSE,NA,NA,Free Agent,0,0,NA,NA,NA,0
Zack Gelof,4414531,6,0,5,5,FALSE,NA,NA,Free Agent,0,0,NA,NA,NA,0
Mauricio Dubon,35304,6,0,6,11,FALSE,NA,NA,Free Agent,0,0,NA,NA,NA,0
Jack Leiter,4622181,4,0,7,22,TRUE,NA,NA,Free Agent,20,1,0,1,0,20
Brady Singer,41172,9,0,8,22,FALSE,NA,NA,Free Agent,38.5,2,0,1,0,19.25
David Peterson,40921,5,0,8,8,FALSE,NA,NA,Free Agent,0,0,NA,NA,NA,0
Nick Martinez,33372,2,0,8,12,TRUE,NA,NA,Free Agent,0,0,NA,NA,NA,0
Charlie Morton,29155,5,0,9,11,FALSE,NA,NA,Free Agent,-2.5,1,0,1,0,-2.5
Sean Burke,4867679,5,0,9,13,FALSE,NA,NA,Free Agent,22.5,1,0,1,0,22.5
Tomoyuki Sugano,4142423,8,1,9,22,FALSE,NA,NA,Free Agent,0,0,0,1,0,0
Ben Lively,33194,11,0,10,22,FALSE,NA,NA,Free Agent,9,2,0,1,0,4.5
Tyler Soderstrom,4686066,12,0,10,22,FALSE,NA,NA,Free Agent,52,11,1,0,0,4.7272727272727275
Joey Ortiz,42958,4,0,11,12,FALSE,NA,NA,Free Agent,0,0,1,0,0,0
Spencer Torkelson,4424286,1,0,11,22,FALSE,NA,NA,Free Agent,19,8,1,0,0,2.375
Andres Gimenez,37729,14,1,12,22,FALSE,NA,NA,Free Agent,33,9,1,0,0,3.6666666666666665
Erick Fedde,33793,7,0,12,20,FALSE,NA,NA,Free Agent,12,2,0,1,0,6
Jeffrey Springs,35397,6,0,12,16,FALSE,NA,NA,Free Agent,-3,1,0,1,0,-3
Justin Verlander,6341,11,0,12,22,FALSE,NA,NA,Free Agent,6.5,2,0,1,0,3.25
Zack Littell,36052,5,0,12,13,FALSE,NA,NA,Free Agent,24,1,0,1,0,24
Andrew Heaney,32672,1,0,13,13,FALSE,NA,NA,Free Agent,10.5,1,0,1,0,10.5
Dane Myers,40048,4,0,13,13,FALSE,NA,NA,Free Agent,0.5,1,1,0,0,0.5
Jose Alvarado,36063,2,0,13,17,TRUE,NA,NA,Free Agent,14.5,3,0,0,1,4.833333333333333
Josh Jung,42437,2,1,13,14,FALSE,NA,NA,Free Agent,0,0,NA,NA,NA,0
Kirby Yates,32623,1,1,13,22,TRUE,NA,NA,Free Agent,3,3,0,0,1,1
Otto Lopez,41917,2,0,13,13,FALSE,NA,NA,Free Agent,0,1,1,0,0,0
Pete Fairbanks,42180,7,0,13,22,TRUE,NA,NA,Free Agent,10,2,0,0,1,5
Victor Scott II,4807220,13,0,13,14,FALSE,NA,NA,Free Agent,15,2,1,0,0,7.5
AJ Smith-Shawver,4917640,5,0,14,20,FALSE,NA,NA,Free Agent,5,1,0,1,0,5
Ben Brown,41516,2,0,14,14,TRUE,NA,NA,Free Agent,7,1,0,1,0,7
Brandon Marsh,40803,9,0,14,18,FALSE,NA,NA,Free Agent,1,3,1,0,0,0.3333333333333333
Casey Mize,41167,5,0,14,22,FALSE,NA,NA,Free Agent,20.5,1,0,1,0,20.5
David Peterson,40921,4,1,14,14,FALSE,NA,NA,Free Agent,21.5,1,0,1,0,21.5
Kenley Jansen,29630,9,0,14,22,TRUE,NA,NA,Free Agent,8,2,0,0,1,4
Kris Bubic,41201,5,0,14,22,TRUE,NA,NA,Free Agent,26.5,1,0,1,0,26.5
Ryan O'Hearn,35183,1,0,14,14,FALSE,NA,NA,Free Agent,0,0,NA,NA,NA,0
Simeon Woods Richardson,41383,5,0,14,16,FALSE,NA,NA,Free Agent,7.5,1,0,1,0,7.5
Alek Thomas,41215,4,0,15,15,FALSE,NA,NA,Free Agent,0,1,1,0,0,0
Andrew Benintendi,34986,1,0,15,22,FALSE,NA,NA,Free Agent,5,3,1,0,0,1.6666666666666667
Carlos Estevez,34861,6,0,15,21,TRUE,NA,NA,Free Agent,8.5,3,0,0,1,2.8333333333333335
Edmundo Sosa,33809,2,0,15,19,FALSE,NA,NA,Free Agent,6.5,2,1,0,0,3.25
Gavin Sheets,40700,5,0,15,22,FALSE,NA,NA,Free Agent,1.5,5,1,0,0,0.3
Martin Perez,31098,1,0,15,22,FALSE,NA,NA,Free Agent,21,1,0,1,0,21
Nolan Schanuel,4739755,13,1,15,22,FALSE,NA,NA,Free Agent,4,1,1,0,0,4
Otto Lopez,41917,2,1,15,22,FALSE,NA,NA,Free Agent,4,5,1,0,0,0.8
Sal Frelick,4417795,6,0,15,19,FALSE,NA,NA,Free Agent,6,4,1,0,0,1.5
Victor Scott II,4807220,4,1,16,22,FALSE,NA,NA,Free Agent,5.5,4,1,0,0,1.375
Garrett Whitlock,39674,12,0,17,20,FALSE,NA,NA,Free Agent,6,2,0,0,1,3
Geraldo Perdomo,41355,5,0,17,22,FALSE,NA,NA,Free Agent,19.5,5,1,0,0,3.9
Griffin Jax,42604,13,1,17,22,TRUE,NA,NA,Free Agent,-3,1,0,0,1,-3
Harrison Bader,35062,1,0,17,18,FALSE,NA,NA,Free Agent,-1,1,1,0,0,-1
Hunter Goodman,4416591,6,0,17,22,FALSE,NA,NA,Free Agent,2.5,3,1,0,0,0.8333333333333334
Jordan Hicks,37909,8,0,17,22,TRUE,NA,NA,Free Agent,7.5,1,0,1,0,7.5
Jordan Romano,36380,13,1,17,22,TRUE,NA,NA,Free Agent,-1.5,3,0,0,1,-0.5
Jacob Wilson,4719300,4,0,18,22,FALSE,NA,NA,Free Agent,17,4,1,0,0,4.25
Mason Montgomery,4424112,2,0,18,19,TRUE,NA,NA,Free Agent,0,1,0,0,1,0
Wilmer Flores,30627,14,0,18,22,FALSE,NA,NA,Free Agent,5,4,1,0,0,1.25
Alex Vesia,42622,12,0,19,20,TRUE,NA,NA,Free Agent,7.5,1,0,0,1,7.5
Eduardo Rodriguez,32675,6,0,19,19,FALSE,NA,NA,Free Agent,13.5,1,0,1,0,13.5
JP Sears,39818,1,0,19,22,FALSE,NA,NA,Free Agent,13,1,0,1,0,13
Jake Mangum,42664,9,0,19,22,FALSE,NA,NA,Free Agent,1.5,2,1,0,0,0.75
Zach McKinstry,38420,14,0,19,22,FALSE,NA,NA,Free Agent,5,2,1,0,0,2.5
Ben Joyce,4867388,2,0,20,20,TRUE,NA,NA,Free Agent,7,1,0,0,1,7
Gabriel Moreno,42464,6,0,20,21,FALSE,NA,NA,Free Agent,-0.5,1,1,0,0,-0.5
Josh Jung,42437,6,2,20,22,FALSE,NA,NA,Free Agent,0,0,NA,NA,NA,0
Trent Grisham,34995,11,0,20,22,FALSE,NA,NA,Free Agent,6,2,1,0,0,3
Tylor Megill,3332018,4,0,20,22,FALSE,NA,NA,Free Agent,0,0,NA,NA,NA,0
Will Warren,5132011,2,0,20,20,FALSE,NA,NA,Free Agent,2.5,1,0,1,0,2.5
Alek Thomas,41215,12,1,21,21,FALSE,NA,NA,Free Agent,0,0,NA,NA,NA,0
Carson Kelly,32797,5,0,21,22,FALSE,NA,NA,Free Agent,0,0,NA,NA,NA,0
Chris Martin,32903,6,0,21,22,TRUE,NA,NA,Free Agent,0,0,NA,NA,NA,0
David Peterson,40921,5,2,21,22,FALSE,NA,NA,Free Agent,0,0,NA,NA,NA,0
Ke'Bryan Hayes,35020,2,1,21,22,FALSE,NA,NA,Free Agent,3.5,1,1,0,0,3.5
Landen Roupp,4345404,5,0,21,22,TRUE,NA,NA,Free Agent,0,0,NA,NA,NA,0
Logan O'Hoppe,42047,9,0,21,22,FALSE,NA,NA,Free Agent,0,0,NA,NA,NA,0
Luke Jackson,31749,12,0,21,22,TRUE,NA,NA,Free Agent,0,0,NA,NA,NA,0
Mitchell Parker,4683356,7,0,21,22,FALSE,NA,NA,Free Agent,0,0,NA,NA,NA,0
Yuki Matsui,4142414,2,0,21,22,TRUE,NA,NA,Free Agent,0,0,NA,NA,NA,0
Jose Alvarado,36063,6,1,22,22,TRUE,NA,NA,Free Agent,0,0,NA,NA,NA,0
Jose Soriano,40973,6,1,22,22,FALSE,NA,NA,Free Agent,0,0,NA,NA,NA,0
Kyle Freeland,33839,11,0,22,22,FALSE,NA,NA,Free Agent,0,0,NA,NA,NA,0
Kyren Paris,42536,12,0,22,22,FALSE,NA,NA,Free Agent,0,0,NA,NA,NA,0
Sal Frelick,4417795,11,1,22,22,FALSE,NA,NA,Free Agent,0,0,NA,NA,NA,0
